"GENOTYPE","FHB_ME","FDK_ME","DON_ME","HD_ME","PH_ME","FHB_KIN19","FDK_KIN19","DON_KIN19","HD_KIN20","FHB_KIN20","FDK_KIN20","DON_KIN20","PH_KIN20","HD_RAL19","FHB_RAL19","FDK_RAL19","DON_RAL19","HD_RAL20","FHB_RAL20","FDK_RAL20","DON_RAL20","PH_RAL20","FDK_WAR19","DON_WAR19","HD_WAR20","FHB_WAR20","FDK_WAR20","DON_WAR20"
"13955-40",1.18585457632897,3.12402032437245,1.4332687944013,97.9999999812053,84.3750000000319,1.2527629684953,3.48093393190968,2.19498678067727,84,1.94463626870824,3.80574240917567,1.8033321460336,83.75,102.5,1.17865499634166,3.62376258818899,2.52848951129522,86,0.693147180559755,2.30088777606364,-0.640394395187427,85.0000000000001,15,1.31521637910835,119.5,1,2.70801230341215,0.058268908123549
"13955-96",1.04157724277105,2.6901323441429,1.44361013510324,97.3749999811718,93.1250000000318,0.693147774037158,2.73279646026907,2.28612831355081,84,1.5028035164292,3.40027730106751,1.28977054244874,92.5,100.5,1.09861228866812,3.31360765988515,2.50043155850006,85.5,1.09861228866794,1.60774059550369,NA,93.75,10,1.45207556182554,119.5,1.5,2.5256907466182,0.444685821260975
"13955-79",0.507522503744711,2.47164786646516,1.47303404354492,99.3749999811747,100.000000000032,0.405465108108207,2.86189472350346,2.00597623573252,87.5,1.09733840832104,3.40027730106751,2.62693221499098,95,100.5,0.693147180559956,2.70747185631483,1.71538301565629,88.5,0.693147180559754,1.6077405955037,0.502953787322075,105,5,1.41656887336863,121,0,2.30254719530399,-0.0408229845964282
"13955-10",1.41197877664111,3.68385353109736,2.34848008465422,100.749999981406,90.0000000000302,1.60943791243422,4.09403840479597,3.15688802380347,92,1.79048558888099,4.17346718930099,2.83119357858386,90,103.500000000002,1.50407739677667,4.00675484044614,3.21965845184355,87,1.38629436111968,3.39950006473175,1.0976608950691,90,29.9999999999983,2.44446563723847,120.5,1.5,2.99569437586394,0.832909122934614
"13955-67",1.37561112287123,2.97421525932042,1.61843811928684,98.4999999811746,83.7500000000319,1.50407739677629,2.99542611612799,2.31029762718826,87,1.94463626870824,4.09342448162745,1.81149545667277,80,101.5,1.32175583998233,3.40061903687478,2.58234868096795,86,1.25276296849518,1.6077405955037,0.364100355331897,87.5,15,1.77685175868357,119.5,1.5,2.70801230341215,0.760805829033303
"13955-125",0.742362108846263,2.52366237046015,1.47870057158458,99.7499999813872,96.2500000000316,-1.13020703906841e-13,2.7077440436762,2.05188593703659,89.5,1.38502048077282,3.21795574427355,1.70884130261268,100,102.5,0.810930216216325,3.48066174454831,2.58234868096795,88,0.693147180559734,2.52403132737785,0.564771050794049,92.5,3.5527136788005e-15,1.64211916471341,119,1.5,2.01486512285221,0.0198026272956899
"13955-87",1.21191236018036,3.57001656904542,2.27993548238214,102.43052340952,97.4632810426755,1.25276296849544,3.68857329668793,3.17789719989282,92.9999987238696,1.2514890881483,3.62342085238172,2.5865597597006,98.75,106.5,1.25276296849538,3.74892573114299,3.17718492928433,88.5847848922844,1.60943855890322,3.49706809164175,1.72490775947604,94.7903468729757,25,2.04115338249128,122,2.5,3.69758556332444,0.875469727430073
"13955-56",1.53503888977121,3.59458358350931,2.33398527943509,100.249999981195,92.5000000000319,1.25276296849535,3.86042355361459,2.77968225300971,90.5,2.0136291401952,4.09342448162745,3.05609511452897,92.5,104,1.44691898293634,3.68830110932656,2.83283046973364,87,1.60943791243391,3.2171785079378,1.85749945012739,92.5,40,2.60353033186803,119.5,3.5,2.98702616434347,0.875467747277727
"13955-5",1.45849883092412,3.65687313953854,2.56846483863755,99.8749999812133,90.6250000000319,1.60943791243401,4.00702702780646,3.44138030088715,89.5,1.60816403208703,4.00641310463782,2.61734405094132,86.25,102,1.60943791243411,3.9602348248102,3.49938819610434,87,1.25276296849518,3.39950006473175,2.02082450623068,95,35,2.56607276933313,121,3.5,2.99569437586394,1.11841491596386
"13955-52",1.1512828495378,3.07908115798895,1.50090734951597,99.9999999812007,95.6250000000319,0.693146587082732,3.31387984724652,1.7978204753838,87,1.60816403208703,3.21795574427355,2.0099463953966,92.5,104.5,1.3862943611199,3.40061903687478,2.65806050270364,88,1.3862943611197,3.11181799227997,1.0980695304121,98.75,15,0.98671231213631,120.5,0.500000000000002,2.70801230341215,0.364643113587484
"13955-142",0.382359367483514,2.35842489609181,1.02377212512588,100.499999981334,94.3750000000317,0.916290731874007,2.7077440436762,2.21696568739604,88.5,0.691873300212877,2.70713012050756,1.79510164689709,91.25,105,0.693147180559956,2.30200674820667,1.03815129040224,87,-2.09166017839379e-13,1.60774059550369,-0.382565285885326,97.5,20,0.735397883855399,121.5,0,1.60940001474405,-0.223143551314699
